Test average (individual),Test average (overall),Assignments,Tutorials,Exam,Overall,Letter,,,,,,
40.89,50.3,48.18,90,16.5,43.1,F,,,,,,
57.06,65.6,12.35,55,37,43,F,,,,,,
58.78,66.7,25.91,10,32.5,41.7,F,,,,,,
56.33,66.3,20.59,35,30.5,41.6,F,,,,,,
43.08,55,39.75,100,11,40.4,F,,,,,,
39.17,55.4,52.32,60,11.5,37.3,F,,,,,,
36.64,47.1,16,30,,34.9,F,,,,,,
16.92,39.4,50.95,80,7,32.6,F,,,,,,
47.11,59.3,14.8,15,16,30.7,F,,,,,,
20.94,41.8,0,45,3.5,21.4,F,,,,,,
7.78,14.2,0,50,,16.6,F,,,,,,
0.56,6.1,0,10,,4.8,F,,,,,,
,,,,,,,,,,(86.3/105),,
72.8,77.7,75.5,92,61.1,72.7,,,79.4,81.6,82.2,72.5,78.2
Test average (individual),Test average (overall),Assignments,Tutorials,Exam,Overall,,,Test average (individual),Test average (overall),Standards,Exam,Overall
,,83.75,,,,,,,,,,
